City,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Wind Speed (mph),Country,Date
Qaanaaq,77.484,-69.3632,42.87,69,100,13.02,GL,1660426667
Cootamundra,-34.65,148.0333,43.11,95,100,7.36,AU,1660426967
Rikitea,-23.1203,-134.9692,72.91,79,49,22.21,PF,1660426829
São José da Coroa Grande,-8.8978,-35.1478,74.62,70,75,13.27,BR,1660426970
Tubualá,9.5167,-79.0333,81.37,78,100,1.05,PA,1660426972
Punta Arenas,-53.15,-70.9167,35.71,93,100,16.11,CL,1660426892
Ushuaia,-54.8,-68.3,38.86,45,0,13.8,AR,1660426826
Pesnica pri Mariboru,46.6069,15.6767,61.9,83,91,1.14,SI,1660426977
Bowen,-20.0167,148.2333,66.51,70,0,7.65,AU,1660426733
Bluff,-46.6,168.3333,47.59,75,11,20.45,NZ,1660426786
Salalah,17.0151,54.0924,73.49,100,100,3.44,OM,1660426981
Puerto Colombia,10.9878,-74.9547,86.09,75,93,6.35,CO,1660426983
Lüderitz,-26.6481,15.1594,53.53,79,16,7.61,NA,1660426985
Hermanus,-34.4187,19.2345,52.81,71,41,23.73,ZA,1660426841
Atuona,-9.8,-139.0333,77.43,72,11,19.46,PF,1660426620
Haines Junction,60.7522,-137.5108,71.55,46,72,9.22,CA,1660426989
Bredasdorp,-34.5322,20.0403,47.98,81,75,14.97,ZA,1660426776
Barrow,71.2906,-156.7887,33.82,93,100,9.22,US,1660426977
Hobart,-42.8794,147.3294,52.27,97,100,21.85,AU,1660426771
Karratha,-20.7377,116.8463,69.06,62,45,6.17,AU,1660426916
Tuktoyaktuk,69.4541,-133.0374,62.6,77,75,9.22,CA,1660426632
Busselton,-33.65,115.3333,53.74,67,42,5.32,AU,1660426981
Fergus Falls,46.283,-96.0776,76.26,64,100,0.0,US,1660426998
Port Lincoln,-34.7333,135.8667,52.47,82,40,6.51,AU,1660426841
Balestrand,61.2076,6.5334,58.15,89,61,1.45,NO,1660427001
Bethel,41.3712,-73.414,78.8,50,75,11.5,US,1660426847
Airai,-8.9266,125.4092,56.17,71,5,3.67,TL,1660426646
Arrifes,37.7667,-25.7,76.23,94,20,9.22,PT,1660427005
Narsaq,60.9167,-46.05,50.22,96,100,2.35,GL,1660426800
Wāliṅ,27.9833,83.7667,74.64,93,100,0.85,NP,1660427009
Tsimmerbude,54.675,20.1347,66.96,77,73,8.63,RU,1660427011
Orlik,52.5178,99.825,48.69,89,85,1.39,RU,1660427012
Provideniya,64.3833,-173.3,44.83,70,99,3.8,RU,1660427014
Wau,7.7029,27.9953,70.43,97,95,2.15,SS,1660427015
Souillac,-20.5167,57.5167,66.58,82,75,16.11,MU,1660426687
Asău,46.4333,26.4,67.28,89,96,4.63,RO,1660427018
Darnah,32.767,22.6367,79.72,74,0,18.12,LY,1660427020
Ostrovnoy,68.0531,39.5131,48.15,80,74,9.13,RU,1660427021
Juneau,58.3019,-134.4197,62.6,100,100,14.97,US,1660426725
Ramnagar,29.4,79.1167,79.75,74,2,3.2,IN,1660427024
Meulaboh,4.1363,96.1285,78.57,83,89,0.49,ID,1660427025
Ketchikan,55.3422,-131.6461,59.47,94,100,11.5,US,1660426931
Dutse,11.7594,9.3392,72.14,88,100,8.7,NG,1660427030
Kumla,59.1277,15.1434,64.33,82,40,1.14,SE,1660427031
Carnarvon,-24.8667,113.6333,62.64,76,0,10.09,AU,1660426830
Naze,28.3667,129.4833,79.72,82,59,8.46,JP,1660427034
Puerto Ayora,-0.7393,-90.3518,76.96,91,99,10.0,EC,1660426987
Damara,4.9608,18.7035,71.64,93,100,1.54,CF,1660427038
Mahébourg,-20.4081,57.7,68.25,82,75,16.11,MU,1660426726
Stara Syniava,49.6032,27.6191,62.58,95,10,6.29,UA,1660427046
Port Hawkesbury,45.6169,-61.3485,73.9,84,75,8.01,CA,1660427048
Abu Samrah,35.3029,37.1841,73.4,72,0,14.67,SY,1660427018
Avarua,-21.2078,-159.775,75.25,88,100,4.61,CK,1660426903
Cape Town,-33.9258,18.4232,53.89,78,75,5.99,ZA,1660426885
Kapaa,22.0752,-159.319,82.47,69,40,12.66,US,1660426645
Kindu,-2.95,25.95,71.47,83,99,2.62,CD,1660427055
Batagay,67.6333,134.6333,46.11,81,85,3.98,RU,1660427058
El Alto,-4.2714,-81.2147,71.26,76,19,14.29,PE,1660427060
Mar del Plata,-38.0023,-57.5575,59.02,60,0,17.0,AR,1660426884
Cherskiy,68.75,161.3,43.27,65,100,6.13,RU,1660426995
Grindavik,63.8424,-22.4338,51.75,81,75,5.75,IS,1660427064
Esperance,-33.8667,121.9,56.25,79,70,20.54,AU,1660426795
Port Elizabeth,-33.918,25.5701,47.32,98,40,6.91,ZA,1660426935
Churapcha,62.0025,132.4325,60.12,72,78,6.73,RU,1660427068
Tomatlán,19.9333,-105.25,85.87,69,79,8.43,MX,1660427070
